LABELS
SEPARATOR TAB
DATA
N2	k__Archaea
N3691	g__Neorickettsia
N3692	g__Wolbachia
N3694	g__Candidatus Paracaedibacter
N3699	s__Acidithiobacillus ferrooxidans
N3701	f__Chromobacteriaceae_1
N3703	o__Hydrogenophilales; f__Hydrogenophilaceae; g__Thiobacillus; s__Thiobacillus denitrificans
N3709	f__Sutterellaceae
N3713	o__Thiotrichales_1; f__Piscirickettsiaceae_1
N3716	f__Piscirickettsiaceae; g__Piscirickettsia
N3717	f__Francisellaceae
N3739	g__Geobacter
N3742	f__Syntrophaceae
N3743	g__Desulfomicrobium
N3744	g__Desulfonauticus
N3754	f__Desulfarculaceae
N3755	g__Desulfobacca
N3764	g__Chondromyces
N3857	p__Candidatus Colwellbacteria
N3874	p__Candidatus Vogelbacteria
N3897	g__Blastococcus
N3898	g__Glycomyces
N3906	f__; g__Lawsonella; s__Lawsonella clevelandensis
N3907	f__Corynebacteriaceae; g__Corynebacterium
N3908	f__Mycobacteriaceae; g__Mycobacterium
N3913	g__Aeromicrobium
N3917	g__Actinomadura
N3921	g__Serinicoccus
N3922	f__Intrasporangiaceae_2; g__Arsenicicoccus
N3923	f__Dermatophilaceae
N3924	f__Dermacoccaceae
N3925	f__Intrasporangiaceae
N3926	s__Brevibacterium linens
N3930	g__Kocuria
N3938	f__Bifidobacteriaceae
N3949	s__Selenomonas artemidis
N3960	g__Caloranaerobacter
N3963	g__Helcococcus
N3978	s__Pseudobacteroides cellulosolvens
N3981	f__Clostridiaceae_2
N3984	f__Ruminococcaceae
N3986	g__Cellulosilyticum
N3996	g__Butyrivibrio_1
N3999	g__Thermoactinomyces
N4013	f__Acholeplasmataceae
N4017	g__Entomoplasma
N4032	f__Planococcaceae
N4033	f__Bacillaceae
N4048	g__Granulicatella
N4049	g__Aerococcus
N4053	g__Streptococcus
N4066	g__Rubritalea
N4070	g__Candidatus Protochlamydia
N4083	g__Chlorobaculum
N4089	c__Flavobacteriia; o__Flavobacteriales
N4090	c__Bacteroidia
N4094	g__Terriglobus
N4095	g__Granulicella
N4099	s__Helicobacter cetorum
N4103	g__Sulfurovum
N4104	g__Sulfuricurvum
N4105	g__Sulfurimonas
N4109	f__Rickettsiaceae
N4113	g__Anaplasma
N4116	o__Rhodospirillales
N4124	f__Chromobacteriaceae
N4125	f__Neisseriaceae
N4127	o__Methylophilales
N4132	g__Methyloversatilis
N4135	g__Sutterella
N4139	o__Cardiobacteriales; f__Cardiobacteriaceae
N4140	o__; f__
N4146	s__Piscirickettsia salmonis
N4147	g__Francisella
N4149	f__Legionellaceae
N4155	o__Oceanospirillales_3; f__Kangiellaceae; g__Kangiella
N4176	g__Desulfonatronovibrio
N4181	g__Thermodesulfobacterium
N4190	f__Desulfobacteraceae
N4193	s__Bdellovibrio bacteriovorus
N4200	f__Myxococcaceae
N4213	g__Natronorubrum
N4214	g__Natrinema
N4282	p__Candidatus Llyodbacteria
N4283	p__Candidatus Yonathbacteria
N4298	s__Pseudonocardia autotrophica
N4299	o__Actinopolysporales; f__Actinopolysporaceae; g__Actinopolyspora
N4300	o__Pseudonocardiales_2; f__Pseudonocardiaceae_2; g__Saccharopolyspora
N4312	g__Marmoricola
N4313	g__Nocardioides
N4322	g__Streptomyces
N4324	g__Dermacoccus
N4326	g__Intrasporangium
N4329	g__Rothia
N4332	g__Nesterenkonia
N4338	f__Ruaniaceae
N4340	f__Cellulomonadaceae; g__Cellulomonas
N4347	s__Peptococcaceae bacterium SCADC1_2_3
N4348	s__Desulfitobacterium hafniense
N4351	g__Mitsuokella
N4352	g__Selenomonas; s__Selenomonas ruminantium
N4372	g__Peptoanaerobacter
N4380	g__Butyricicoccus
N4401	s__Aneurinibacillus migulanus
N4403	s__Brevibacillus borstelensis
N4414	g__Paenibacillus
N4415	g__Acholeplasma
N4422	g__Erysipelatoclostridium_1
N4438	g__Pontibacillus
N4444	g__Bacillus_2
N4451	s__Listeria innocua
N4452	s__Listeria monocytogenes
N4460	s__Aerococcus urinae
N4462	g__Facklamia
N4464	g__Enterococcus
N4465	g__Lactococcus
N4474	f__Leuconostocaceae
N4475	f__Lactobacillaceae_1
N4481	g__Rhodopirellula
N4505	c__Saprospiria; o__Saprospirales
N4506	c__Chitinophagia; o__Chitinophagales
N4507	c__Sphingobacteriia; o__Sphingobacteriales
N4508	c__Cytophagia; o__Cytophagales
N4512	g__Acidobacterium
N4513	s__Terriglobus roseus
N4516	s__Helicobacter pylori
N4524	g__Rickettsia
N4528	g__Ehrlichia
N4529	s__Anaplasma phagocytophilum
N4535	o__Sphingomonadales
N4536	o__Rhodobacterales
N4543	g__Vitreoscilla
N4546	f__Methylophilaceae
N4547	o__Gallionellales
N4548	o__Nitrosomonadales
N4552	g__Parasutterella
N4555	f__Alcaligenaceae
N4560	g__Wohlfahrtiimonas
N4575	f__Coxiellaceae
N4580	o__Oceanospirillales_1; f__Alcanivoracaceae
N4581	o__Pseudomonadales; f__Moraxellaceae
N4583	o__Aeromonadales_1; f__Succinivibrionaceae
N4592	g__Geoalkalibacter
N4601	g__Smithella
N4603	g__Desulfovibrio_3; s__Desulfovibrio alaskensis
N4604	g__Halodesulfovibrio
N4621	g__Bacteriovorax
N4625	g__Myxococcus
N4636	g__Halobiforma
N4642	s__Bellilinea caldifistulae
N4702	p__Candidatus Zambryskibacteria
N4708	o__Oscillatoriales_1; f__Oscillatoriaceae; g__Moorea
N4710	o__Oscillatoriales
N4723	s__Mycobacterium rhodesiae
N4724	f__Tsukamurellaceae; g__Tsukamurella
N4743	g__Streptacidiphilus
N4751	s__Rothia dentocariosa
N4757	g__Glutamicibacter
N4762	f__Jonesiaceae
N4763	f__Promicromonosporaceae
N4766	g__Alloscardovia
N4770	g__Arcanobacterium
N4773	g__Mobiluncus
N4792	s__Anaerococcus prevotii
N4794	g__Peptostreptococcus
N4797	s__[Clostridium] papyrosolvens
N4809	g__Coprococcus
N4816	g__Oribacterium
N4817	g__Lachnoclostridium_1; s__[Clostridium] aminophilum
N4830	s__Paenibacillus larvae
N4840	g__Saccharibacillus
N4844	g__Candidatus Phytoplasma
N4850	g__Catenibacterium
N4852	g__Holdemania
N4853	g__Solobacterium
N4856	g__Erysipelatoclostridium
N4859	g__Marinococcus
N4863	s__Pontibacillus halophilus
N4866	g__Terribacillus
N4869	g__Bhargavaea; s__Bhargavaea cecembensis
N4880	s__Staphylococcus saprophyticus
N4886	s__Trichococcus flocculiformis
N4893	g__Enterococcus_1
N4910	g__Weissella
N4912	g__Pediococcus
N4913	g__Lactobacillus_1
N4920	s__Akkermansia muciniphila
N4931	g__Melioribacter
N4932	g__Candidatus Kryptobacter; s__Candidatus Kryptobacter tengchongensis
N4933	g__Candidatus Kryptonium
N4937	f__Balneolaceae
N4938	f__Saprospiraceae; g__Saprospira
N4942	f__Sphingobacteriaceae
N4943	f__Amoebophilaceae
N4961	g__Orientia
N4962	s__Rickettsia bellii
N4970	s__Anaplasma marginale
N4971	f__Acetobacteraceae
N4973	o__Rhodospirillales_2; f__Rhodospirillaceae_1
N4976	f__Rhodobacteraceae
N4987	f__Gallionellaceae
N4989	f__Nitrosomonadaceae
N4990	g__Dechloromonas
N4991	g__Tepidiphilus
N4999	g__Cardiobacterium
N5001	s__Wohlfahrtiimonas chitiniclastica
N5003	g__Thioalkalimicrobium
N5004	g__Hydrogenovibrio
N5005	o__Salinisphaerales; f__Salinisphaeraceae; g__Salinisphaera
N5006	o__Nevskiales
N5008	o__; f__Competibacteraceae
N5024	g__Alcanivorax
N5036	g__Desulfuromonas
N5045	g__Desulfovibrio_2; s__Desulfovibrio vulgaris
N5047	s__Desulfovibrio magneticus
N5053	s__Thermodesulfobacterium commune
N5055	g__Desulfatibacillum
N5056	g__Desulfosarcina
N5125	p__Candidatus Taylorbacteria
N5129	s__Moorea producens
N5132	f__Oscillatoriaceae_1; g__Oscillatoria
N5133	f__Microcoleaceae
N5150	f__Williamsiaceae
N5151	f__Gordoniaceae; g__Gordonia
N5163	g__Microbispora
N5164	g__Nonomuraea
N5167	g__Kitasatospora
N5171	g__Mobilicoccus
N5172	g__Luteipulveratus
N5174	g__Janibacter
N5187	g__Scardovia
N5190	g__Gardnerella; s__Gardnerella vaginalis
N5191	g__Bifidobacterium
N5196	s__Mobiluncus curtisii
N5197	s__Mobiluncus mulieris
N5215	g__Kallipyga
N5224	f__
N5225	f__Oscillospiraceae
N5236	g__Anaerocolumna
N5273	g__Kandleria; s__Kandleria vitulina
N5274	g__Sharpea
N5278	g__Faecalibaculum
N5279	g__Faecalitalea
N5290	g__Salimicrobium
N5291	g__Halobacillus
N5294	g__Ornithinibacillus
N5297	g__Sporosarcina
N5298	g__Planococcus
N5301	g__Lysinibacillus
N5305	g__Bacillus
N5327	s__Lactobacillus fuchuensis
N5343	g__Oenococcus
N5362	g__Balneola
N5363	s__Saprospira grandis
N5367	f__Chitinophagaceae
N5369	g__Candidatus Cardinium
N5371	f__Crocinitomicaceae
N5377	o__Bacteroidales
N5388	s__Orientia tsutsugamushi
N5390	s__Rickettsia canadensis
N5403	o__Rhodospirillales_3; f__Rhodospirillaceae_2; g__Thalassospira
N5404	o__Rhizobiales_1; f__Methylocystaceae
N5405	g__Magnetospirillum
N5408	f__Sphingomonadaceae_5
N5421	g__Methylobacillus
N5423	g__Sideroxydans
N5425	g__Nitrosospira
N5426	g__Nitrosomonas
N5429	s__Sutterella wadsworthensis
N5431	g__Kinetoplastibacterium
N5433	f__Oxalobacteraceae
N5434	f__Burkholderiaceae
N5435	f__; g__Thiomonas
N5444	f__Sinobacteraceae
N5445	o__Xanthomonadales
N5446	o__Chromatiales_2; f__Ectothiorhodospiraceae_1
N5448	o__Thiotrichales_2; f__Thiotrichaceae
N5459	g__Rickettsiella
N5463	g__Legionella_1
N5469	o__Cellvibrionales
N5471	o__Oceanospirillales
N5474	g__Succinivibrio
N5475	o__Alteromonadales
N5476	o__Alteromonadales_1
N5483	g__Syntrophus
N5485	s__Halodesulfovibrio aestuarii
N5486	g__Lawsonia
N5487	g__Desulfovibrio_1
N5554	s__Phormidesmis priestleyi
N5558	o__Spirulinales; f__Spirulinaceae
N5564	g__Micromonospora
N5566	g__Actinoplanes
N5569	g__Thermocrispum
N5570	g__Amycolatopsis
N5574	s__Corynebacterium falsenii
N5585	g__Williamsia
N5588	f__Nocardiaceae
N5589	g__Propionibacterium
N5599	g__Streptosporangium
N5612	g__Leucobacter
N5614	g__Jonesia
N5625	g__Actinotignum
N5626	g__Actinobaculum
N5640	s__Clostridium botulinum
N5662	g__Lachnoanaerobaculum
N5668	g__Hungatella; s__Hungatella hathewayi
N5669	g__Lachnoclostridium
N5670	s__Butyrivibrio crossotus
N5678	s__Brevibacillus brevis
N5699	s__Sharpea azabuensis
N5700	s__Solobacterium moorei
N5706	g__Alteribacillus
N5709	s__Bacillus clausii
N5715	g__Gracilibacillus
N5718	g__Lentibacillus
N5724	g__Paenisporosarcina
N5743	s__Enterococcus faecalis
N5746	s__Streptococcus suis
N5752	s__Lactobacillus sakei
N5754	s__Lactobacillus thailandensis
N5755	s__Lactobacillus pantheris
N5758	s__Lactobacillus harbinensis
N5771	g__Leuconostoc
N5772	s__Oenococcus oeni
N5787	f__Haliscomenobacteraceae
N5788	f__Lewinellaceae; g__Lewinella
N5794	g__Crocinitomix
N5827	g__Terasakiella
N5832	o__Kiloniellales; f__Kiloniellaceae
N5833	o__Rhodospirillales_1; f__Rhodospirillaceae
N5834	g__Sandarakinorhabdus
N5839	o__Parvularculales; f__Parvularculaceae; g__Parvularcula
N5843	o__Rhizobiales
N5845	g__Chitinilyticum
N5851	g__Methylotenera
N5859	g__Azoarcus
N5860	g__Thauera
N5867	g__Oxalobacter; s__Oxalobacter formigenes
N5869	g__Polynucleobacter
N5873	f__
N5874	f__Comamonadaceae
N5881	f__Rhodanobacteraceae
N5890	o__Thiotrichales_6; f__Piscirickettsiaceae_3; g__Cycloclasticus
N5891	o__Methylococcales
N5901	s__Rickettsiella grylli
N5910	g__Moraxella_1
N5914	o__Oceanospirillales_2; f__Hahellaceae
N5915	o__Pseudomonadales_1; f__Pseudomonadaceae; g__Pseudomonas
N5918	g__Ruminobacter
N5920	s__Succinivibrio dextrinosolvens
N5921	f__Idiomarinaceae
N5923	f__Ferrimonadaceae; g__Ferrimonas
N5924	f__Shewanellaceae; g__Shewanella
N5932	s__Lawsonia intracellularis
N5972	p__Candidatus Adlerbacteria
N5973	p__Candidatus Kaiserbacteria
N5986	g__Spirulina
N5991	g__Trichodesmium
N5993	o__Chroococcidiopsidales; f__Chroococcidiopsidaceae
N5994	o__Nostocales
N5997	g__Salinispora
N6000	g__Actinokineospora
N6001	g__Kutzneria
N6025	g__Rhodococcus
N6028	g__Acidipropionibacterium
N6029	g__Cutibacterium
N6044	g__Phycicoccus
N6046	s__Glutamicibacter arilaitensis
N6061	s__Actinotignum schaalii
N6062	s__Actinobaculum suis
N6067	g__Actinomyces; s__Actinomyces neuii
N6070	s__Candidatus Arthromitus sp. SFB-mouse
N6074	s__Clostridium pasteurianum
N6079	s__Eubacterium pyruvativorans
N6080	g__Clostridioides
N6083	g__Oscillibacter
N6129	s__Faecalibaculum rodentium
N6134	g__Salibacterium
N6141	g__Virgibacillus
N6142	g__Oceanobacillus
N6145	g__Kurthia
N6154	g__Bacillus_3
N6159	s__Staphylococcus capitis
N6160	s__Staphylococcus epidermidis
N6162	g__Tetragenococcus
N6163	s__Enterococcus asini
N6176	s__Lactobacillus curvatus
N6187	s__Lactobacillus sucicola
N6193	g__Fructobacillus
N6202	s__Rhodopirellula europaea
N6203	s__Rhodopirellula baltica
N6209	g__Chitinophaga
N6214	g__Pedobacter
N6223	f__Flavobacteriaceae
N6240	g__Roseomonas
N6249	g__Candidatus Endolissoclinum
N6252	f__Sphingomonadaceae_4; g__Zymomonas; s__Zymomonas mobilis
N6256	o__Rhodobacterales_1; f__Hyphomonadaceae
N6257	o__Caulobacterales; f__Caulobacteraceae
N6259	f__Hyphomicrobiaceae_1
N6265	g__Neisseria
N6297	g__Nevskia
N6301	f__Xanthomonadaceae
N6303	o__Chromatiales_4; f__Halothiobacillaceae; g__Halothiobacillus
N6305	g__Beggiatoa
N6311	o__Chromatiales_3; f__Chromatiaceae_2; g__Nitrosococcus
N6312	o__Thiotrichales_3; f__Piscirickettsiaceae_2; g__Methylophaga
N6316	o__; f__
N6319	s__Francisella noatunensis
N6320	s__Francisella tularensis
N6322	g__Coxiella
N6329	g__Legionella
N6332	g__Acinetobacter
N6335	g__Psychrobacter
N6336	g__Moraxella
N6337	f__Spongiibacteraceae
N6338	f__Halieaceae
N6341	g__Endozoicomonas
N6344	f__Oceanospirillaceae_2; g__Oceanospirillum
N6347	f__Oceanospirillaceae
N6349	g__
N6350	g__Idiomarina
N6351	f__Alteromonadaceae
N6357	o__Aeromonadales; f__Aeromonadaceae
N6358	o__Alteromonadales_2
N6359	o__Vibrionales; f__Vibrionaceae
N6366	s__Desulfovibrio desulfuricans
N6413	o__Synechococcales_6; f__Prochloraceae_1; g__Prochloron; s__Prochloron didemni
N6414	o__Pleurocapsales
N6415	o__Chroococcales_1
N6417	g__Kamptonema
N6418	g__Planktothrix
N6430	g__Saccharomonospora
N6438	s__Mycobacterium heraklionense
N6468	g__Knoellia
N6473	g__Microbacterium
N6485	g__Varibaculum
N6496	s__Clostridioides difficile
N6510	g__Ruminococcus
N6521	g__Roseburia
N6523	g__Pseudobutyrivibrio
N6532	s__Paenibacillus durus
N6536	s__Paenibacillus polymyxa
N6540	s__Faecalitalea cylindroides
N6545	g__Amphibacillus
N6555	g__Parageobacillus
N6556	g__Geobacillus; s__Geobacillus subterraneus
N6557	s__Bacillus endophyticus
N6581	s__Lactobacillus nasuensis
N6582	s__Lactobacillus rhamnosus
N6584	s__Lactobacillus versmoldensis
N6590	s__Lactobacillus ruminis
N6593	s__Weissella halotolerans
N6594	s__Weissella ceti
N6618	g__Sphingobacterium
N6619	g__Pedobacter_1
N6624	f__Flammeovirgaceae_1
N6626	f__Cytophagaceae_1
N6627	f__Hymenobacteraceae
N6629	f__Cytophagaceae
N6630	g__Fluviicola
N6632	f__Blattabacteriaceae
N6633	f__Flavobacteriaceae_1
N6643	f__Porphyromonadaceae_2
N6661	g__Kiloniella
N6666	f__Sphingomonadaceae; g__Sphingomonas
N6678	g__Conchiformibius
N6679	g__Kingella
N6682	g__Methylophilus
N6688	g__Taylorella
N6689	g__Oligella
N6690	g__Pusillimonas
N6692	g__Massilia
N6693	g__Janthinobacterium
N6694	g__Noviherbaspirillum
N6711	o__Thiotrichales_4; f__Thiotrichaceae_1
N6712	o__Chromatiales; f__Ectothiorhodospiraceae
N6719	f__Methylothermaceae
N6722	o__Thiotrichales_5; f__Thiotrichaceae_2; g__Achromatium
N6723	o__Chromatiales_1; f__Chromatiaceae
N6725	g__
N6744	s__Moraxella osloensis
N6753	f__Microbulbiferaceae; g__Microbulbifer
N6754	f__Cellvibrionaceae
N6755	s__Endozoicomonas elysicola
N6760	f__Oceanospirillaceae_1
N6761	f__Halomonadaceae
N6764	g__Marinomonas
N6766	s__Idiomarinaceae bacterium HL-53
N6769	g__Catenovulum
N6771	f__Colwelliaceae
N6777	f__Alteromonadaceae_2
N6781	o__Pasteurellales; f__Pasteurellaceae
N6790	g__Desulfobacula
N6832	g__Arthrospira
N6838	g__Saccharothrix
N6839	g__Lentzea
N6864	s__Rhodococcus fascians
N6866	g__Nocardia
N6894	s__Varibaculum cambriense
N6902	s__Clostridium magnum
N6904	g__Intestinimonas
N6911	g__Faecalibacterium
N6918	s__[Clostridium] citroniae
N6926	g__Butyrivibrio
N6967	g__Jeotgalibacillus
N6968	g__Bacillus_4
N6977	s__Streptococcus mutans
N6978	s__Streptococcus thermophilus
N6979	s__Streptococcus sobrinus
N6993	s__Weissella confusa
N6995	s__Fructobacillus pseudoficulneus
N6996	s__Fructobacillus fructosus
N6998	s__Leuconostoc mesenteroides
N7005	s__Lactobacillus plantarum
N7018	s__Candidatus Kryptonium thompsoni
N7028	g__Mucilaginibacter
N7032	f__Bernardetiaceae
N7033	g__Flammeovirga
N7040	f__Microscillaceae
N7045	g__Blattabacterium
N7056	f__Rikenellaceae
N7057	f__Odoribacteraceae
N7060	f__Porphyromonadaceae
N7068	g__Acidocella
N7069	g__Acidiphilium
N7070	g__Commensalibacter
N7079	f__Sphingomonadaceae_2; g__Sphingobium
N7085	g__Hirschia
N7088	g__Asticcacaulis
N7089	g__Brevundimonas
N7093	g__Chromobacterium
N7098	s__Nitrosomonas communis
N7102	s__Oligella urethralis
N7111	g__Ralstonia
N7112	g__Cupriavidus
N7114	g__Aquabacterium
N7118	g__Hydrogenophaga
N7121	s__Hydrogenovibrio marinus
N7122	g__Solimonas
N7124	g__Arenimonas
N7129	g__Thiothrix
N7133	s__Methylophaga thiooxydans
N7136	f__Methylococcaceae
N7140	g__Candidatus Thiodiazotropha
N7142	s__Solemya velum gill symbiont
N7147	s__Coxiella burnetii
N7155	g__Legionella_2; s__Legionella longbeachae
N7156	g__Fluoribacter
N7164	s__Moraxella catarrhalis
N7165	g__Spongiibacter
N7174	g__Candidatus Portiera
N7176	f__Saccharospirillaceae
N7178	f__Hahellaceae_1; g__Hahella
N7179	f__Alteromonadaceae_1; g__Marinobacter
N7187	g__Thalassotalea
N7190	f__Pseudoalteromonadaceae
N7193	g__Aeromonas
N7194	g__Agarivorans
N7195	f__Moritellaceae; g__Moritella
N7196	f__Psychromonadaceae; g__Psychromonas
N7198	g__Photobacterium
N7207	g__Desulfobacter
N7240	f__Hyellaceae
N7241	f__Cyanobacteriaceae; g__Cyanobacterium
N7242	f__Chroococcaceae
N7246	o__Chroococcales; f__Microcystaceae; g__Microcystis
N7248	s__Arthrospira platensis
N7250	f__Rivulariaceae; g__Calothrix
N7251	f__Nostocaceae_1; g__Richelia
N7252	f__Scytonemataceae
N7254	f__Nostocaceae
N7262	s__Corynebacterium callunae
N7267	s__Corynebacterium diphtheriae
N7268	s__Corynebacterium pseudotuberculosis
N7333	s__Pseudobutyrivibrio ruminis
N7337	g__Blautia
N7352	s__Parageobacillus caldoxylosilyticus
N7360	g__Bacillus_5
N7363	s__Bacillus coahuilensis
N7370	s__Streptococcus ratti
N7383	s__Lactobacillus hominis
N7384	s__Lactobacillus psittaci
N7385	s__Lactobacillus jensenii
N7403	s__Lactobacillus kimchicus
N7422	s__Pedobacter glucosidilyticus
N7424	g__Arcticibacter
N7433	f__Flammeovirgaceae
N7434	f__Cyclobacteriaceae
N7435	g__Cytophaga
N7436	g__Hymenobacter
N7438	g__Pontibacter
N7440	g__Leadbetterella
N7450	g__Capnocytophaga
N7462	g__Alistipes
N7463	g__Odoribacter
N7465	f__Marinilabiliaceae
N7468	g__Paludibacter
N7469	g__Porphyromonas; s__Porphyromonas somerae
N7471	f__Porphyromonadaceae_1
N7485	f__Sphingomonadaceae_3; g__Sphingopyxis
N7493	g__Phenylobacterium
N7494	g__Caulobacter
N7498	g__Hyphomicrobium
N7499	f__Methylocystaceae_3; g__Methylopila
N7501	f__Hyphomicrobiaceae
N7509	s__Nitrosomonas marina
N7510	s__Nitrosomonas ureae
N7525	g__Ottowia
N7527	g__Luteibacter
N7531	g__Lysobacter
N7534	g__Spiribacter
N7538	g__Thioalkalivibrio
N7546	g__Sedimenticola
N7548	s__Candidatus Thiodiazotropha endoloripes
N7559	s__Legionella jordanis
N7563	s__Legionella pneumophila
N7568	s__Moraxella nonliquefaciens
N7576	g__Teredinibacter
N7580	g__Marinospirillum
N7592	s__Catenovulum agarivorans
N7595	s__Thalassotalea sp. LPB0090
N7598	g__Pseudoalteromonas
N7607	g__Salinivibrio
N7610	g__Aliivibrio
N7612	g__Gallibacterium; s__Gallibacterium anatis
N7614	o__Orbales
N7615	o__Enterobacterales
N7646	g__Geminocystis
N7648	o__Synechococcales_2; f__Merismopediaceae; g__Synechocystis
N7649	o__Chroococcales_2
N7653	s__Arthrospira sp. PCC 8005
N7656	s__Richelia intracellularis
N7658	g__Scytonema
N7659	f__Chlorogloeopsidaceae; g__Chlorogloeopsis
N7660	f__Hapalosiphonaceae; g__Fischerella
N7686	s__Cutibacterium acnes
N7703	s__Leucobacter chromiiresistens
N7724	s__[Clostridium] clostridioforme
N7744	s__Bacillus anthracis
N7750	s__Bacillus subtilis
N7752	s__Bacillus coagulans
N7753	s__Bacillus badius
N7754	g__Domibacillus
N7781	s__Lactobacillus ingluviei
N7789	s__Lactobacillus florum
N7797	g__Flavihumibacter
N7809	s__Pedobacter antarcticus
N7820	g__Rufibacter
N7831	g__Riemerella
N7833	g__Tenacibaculum
N7851	g__Sanguibacteroides
N7852	g__Butyricimonas; s__Butyricimonas synergistica
N7853	g__Saccharicrinis
N7854	g__Anaerophaga
N7863	f__Bacteroidaceae; g__Bacteroides
N7870	g__Acetobacter
N7871	s__Candidatus Endolissoclinum faulkneri
N7877	s__Sphingomonas wittichii
N7892	g__Hyphomonas
N7894	s__Caulobacter vibrioides
N7895	s__Caulobacter henricii
N7912	g__Bordetella
N7917	s__Ralstonia mannitolilytica
N7920	g__Rhizobacter
N7928	g__Luteimonas
N7930	g__Pseudoxanthomonas; s__Pseudoxanthomonas suwonensis
N7937	g__Methylomonas
N7938	g__Methylomicrobium
N7940	g__Thiohalocapsa
N7951	s__Fluoribacter dumoffii
N7963	f__Porticoccaceae
N7965	g__Simiduia; s__Simiduia agarivorans
N7973	g__Halomonas
N7980	g__Paraglaciecola
N7982	g__Colwellia
N7997	g__Grimontia
N7998	g__Enterovibrio; s__Enterovibrio calviensis
N7999	s__Salinivibrio socompensis
N8008	f__Orbaceae; g__Gilliamella
N8009	f__Budviciaceae; g__Pragia
N8039	s__Synechocystis sp. PCC 6803
N8041	f__Aphanothecaceae
N8043	s__Microcystis aeruginosa
N8047	s__Chlorogloeopsis fritschii
N8048	s__Fischerella muscicola
N8052	f__Aphanizomenonaceae; g__Cylindrospermopsis
N8057	s__Corynebacterium pseudodiphtheriticum
N8086	g__Pseudarthrobacter
N8092	g__Curtobacterium
N8094	g__Rathayibacter
N8101	g__Anaerotruncus
N8119	g__Dorea
N8121	s__[Clostridium] innocuum
N8123	s__Bacillus megaterium
N8124	s__Bacillus pumilus
N8131	s__Bacillus enclensis
N8142	s__Lactobacillus casei
N8146	s__Lactobacillus gigeriorum
N8147	s__Lactobacillus pasteurii
N8155	s__Lactobacillus antri
N8157	s__Lactobacillus fermentum
N8159	s__Lactobacillus similis
N8162	s__Lactobacillus parafarraginis
N8164	s__Lactobacillus lindneri
N8174	g__Hydrotalea; s__Hydrotalea flava
N8177	g__Flavisolibacter
N8178	g__Niabella
N8187	s__Pedobacter heparinus
N8196	s__Pontibacter akesuensis
N8198	g__Runella
N8205	g__Polaribacter
N8209	g__Myroides
N8210	g__Flavobacterium
N8224	s__Sanguibacteroides justesenii
N8229	f__Prolixibacteraceae
N8237	g__Barnesiella
N8243	f__Prevotellaceae_1; g__Paraprevotella
N8247	g__Komagataeibacter
N8251	g__Skermanella
N8252	g__Azospirillum
N8263	f__Sphingomonadaceae_6; g__Blastomonas
N8268	g__Paracoccus
N8273	g__Oceanicaulis
N8281	g__Devosia
N8282	f__Rhizobiaceae_1
N8285	g__Achromobacter
N8289	g__Herbaspirillum
N8295	g__Limnohabitans
N8310	g__Methylobacter
N8323	s__Acinetobacter pittii
N8333	g__Cellvibrio
N8338	s__Candidatus Portiera aleyrodidarum
N8340	g__Chromohalobacter
N8349	s__Idiomarina abyssalis
N8353	g__Glaciecola
N8355	s__Colwellia psychrerythraea
N8357	f__Chromatiaceae_1; g__Rheinheimera
N8360	s__Pseudoalteromonas ruthenica
N8362	s__Shewanella baltica
N8378	g__Avibacterium
N8382	f__Morganellaceae
N8406	g__Candidatus Atelocyanobacterium; s__Candidatus Atelocyanobacterium thalassa
N8407	g__Crocosphaera
N8437	s__Streptomyces sp. WMMB 714
N8439	s__Streptomyces lydicus
N8464	s__Ruminococcus flavefaciens
N8471	s__Blautia obeum
N8482	s__Bacillus velezensis
N8483	s__Bacillus amyloliquefaciens
N8498	s__Lactobacillus acetotolerans
N8510	s__Lactobacillus odoratitofui
N8524	g__Niastella
N8532	s__Pedobacter steynii
N8533	g__Fabibacter
N8534	g__Roseivirga
N8535	g__Echinicola
N8536	g__Cyclobacterium
N8537	g__Rhodonellum
N8538	g__Algoriphagus
N8542	g__Dyadobacter
N8552	s__Capnocytophaga haemolytica
N8557	g__Zhouia
N8564	s__Saccharicrinis fermentans
N8567	g__Draconibacterium
N8573	g__Parabacteroides
N8581	f__Prevotellaceae
N8584	g__Saccharibacter
N8585	g__Gluconobacter
N8599	s__Sphingobium herbicidovorans
N8602	f__Sphingomonadaceae_1; g__Novosphingobium
N8603	f__Erythrobacteraceae
N8606	g__Thioclava
N8626	g__Kaistia
N8634	g__Burkholderia
N8647	g__Stenotrophomonas
N8649	g__Ectothiorhodospira
N8652	g__Methylosarcina
N8674	s__Teredinibacter turnerae
N8676	g__Marinimicrobium
N8677	g__Gilvimarinus
N8679	s__Pseudomonas alcaligenes
N8689	g__Marinobacterium
N8690	g__Nitrincola
N8693	s__Idiomarina loihiensis
N8697	g__Alteromonas
N8700	f__Alteromonadaceae_3; g__Alishewanella
N8701	f__Chromatiaceae_3; g__Arsukibacterium
N8714	g__Bibersteinia; s__Bibersteinia trehalosi
N8715	g__Haemophilus
N8719	s__Gilliamella apicola
N8720	s__Pragia fontium
N8743	s__Crocosphaera watsonii
N8751	g__Anabaena
N8755	s__Cylindrospermopsis raciborskii
N8775	s__Streptomyces clavuligerus
N8784	s__Pseudarthrobacter phenanthrenivorans
N8786	s__Microbacterium hydrocarbonoxydans
N8791	g__Leifsonia
N8797	s__Ruminococcus bicirculans
